"timestamp","total_borrowed"
1627030804387,"209241885200897.995680033230053474"
1626944404326,"171815553455137.262527268146310399"
1626858001485,"154700722894867.935336230223856063"
1626771600720,"149713879057925.284037885049934331"
1626685204217,"166556498249429.671055211846686693"
1626598802719,"168303537864904.281419325891681647"
1626512406525,"165612402488673.454923628690871646"
1626426002686,"171987740634534.156924314546953609"
1626339604032,"174025949721853.148480704576960269"
1626253206481,"173088399510657.60263001017238021"
1626166805568,"191053936127050.92813354225632056"
1626080404166,"198037857512768.474237918301203535"
1625994005612,"190338647662199.776449910414066832"
1625907606132,"187704736994531.836068178463611567"
1625821202725,"169873270065288.224273732780925095"
1625734806107,"166708726858683.474137612192820359"
1625648404908,"167565692167205.39361463494434036"
1625562005700,"153760012390047.847668020294054347"
1625475601447,"147876063212686.941037264893874714"
1625389203536,"147015132203142.305177055738418283"
1625302801170,"140295081849830.927407311343429272"
1625216402731,"140481082686482.47896619558731585"
1625130004049,"143019495835310.616891023280150005"
1625043601968,"140180961737715.109506301249940378"
1624957207018,"129459389566995.647449147091044099"
1624870805766,"125647527186755.894105642182246274"
1624784400266,"123612288693070.22777205860497558"
1624698002514,"120443359413776.711498125327960198"
1624611795860,"125075698042115.475403233849045403"
1624525203441,"123007746380779.380772550160815623"
1624438800934,"122085801232774.719969631918787182"
1624352400941,"112798006573803.840662402698886149"
1624266005881,"122012240646385.960969533977951605"
1624179605391,"125104439687084.831177497150829433"
1624093204263,"124846630572483.500730120294800061"
1624006803523,"131603226868312.766143356981344583"
1623920411002,"128802655230980.101088654762375302"
1623834000471,"129324569182828.237613778181582634"
1623747605571,"122064791025201.467708361344732775"
1623661201108,"115966496730244.836503700403093129"
1623574802544,"108366069755416.506665761312851887"
1623488400305,"105689232621932.102477073164839292"
1623402007186,"112600911201821.337684307031217548"
1623315600373,"105094318089580.430144727750343931"
1623229205189,"99988101456846.621264758258640647"
1623142804700,"98513142110504.779667219549810374"
1623056400054,"107718290308479.23922414724730025"
1622970005165,"102584221824783.186866210915884303"
1622883602862,"103134224332232.989937836519547731"
1622797203926,"105993495354701.313336393027919494"
1622710805537,"103391794489380.025620049643928449"
1622624404509,"96825787786774.209390457692727745"
1622538003492,"80087188604610.270599898842496847"
1622437628669,"68250721918851.784576091887870087"
1622351224776,"64945328075556.639573656925731591"
1622264824689,"66035064087041.98837630520014208"
1622178422698,"75061843726857.534893913246538247"
1622019602695,"76088663803841.868111830698099638"
1621933204673,"68727083348140.645455639424784207"
1621846806651,"53508511496228.684383195095647098"
1621760401864,"71746231453512.949686846149832266"
1621674003842,"90038602563006.527910221568165607"
1621587605820,"127249205806350.346662704375682034"
1621501201033,"121359095470205.47085774232614072"
1621414803011,"222822637948919.833291169832470499"
1621328404990,"232001770498203.148177836475922845"
1621242000203,"231816846170440.412688512002420127"
1621155602181,"235443600485395.376667502401714002"
1621069204159,"233749075424865.776677834042019882"
1620982806137,"231606893857875.626011094473500039"
1620896401350,"232349570566282.545164236113101494"
1620810003328,"241689146993080.981836968661019752"
1620723605306,"238279218711938.916264203653122233"
1620637200519,"248542275627718.477384472202163834"
1620550802497,"246183338249385.205777022459138248"
1620464404476,"244666219830849.01868401623197148"
1620424652321,"244013576124761.709490758619676192"
1620346707102,"242541719870396.392124591368857634"
1620259535386,"241537938455995.794811947613938505"
1620172763632,"238148371636504.503089626640468693"
1620085766427,"242930571984034.802240596993499104"
1619998585985,"234707618287965.465512052880664562"
1619911773035,"231612462536574.24291181888686924"
1619825094816,"230581338725717.131236458946737294"
1619738454063,"223741943920940.783885329700174283"
1619651864262,"216248677682313.134517703475064243"
1619565326840,"216114276636240.728575032860591396"
1619478679975,"208817061844070.772642923098400138"
1619392001931,"192217401279397.302346531549926659"
1619305446722,"176426318927237.034956165638535735"
1619219243897,"165489940553663.491618517505562003"
1619132864134,"174318545899279.131040431260613581"
1619046544622,"169889444892165.035706938832554235"
1618960060908,"166827280830009.574326242506161804"
1618873762598,"161058549358917.17142917480019814"
1618787723926,"152588356749576.654393034225481912"
1618701521905,"184730725504586.164758673339016031"
1618615316381,"177147388922035.729166736837024071"
1618528860912,"174474166083945.525184181043930287"
1618441830097,"166108883591788.505144664482281652"
1618354882542,"159212915345379.980064862835995942"
1618267951838,"152843374567430.513194938391969377"
1618180743726,"152619833039469.515005364062896213"
1618093668479,"148921433145255.321945550570018318"
1618006467965,"153042886959911.325916990058199757"
1617919351691,"120655652146786.127911999361702696"
1617832382378,"109189026491598.716334400550263106"
1617746200800,"114757197270581.388575809960612814"
1617660163290,"111983058671142.057546480108157827"
1617574214279,"112849505170318.061189771370807802"
1617488301304,"113317802119582.951927345999672894"
1617402414893,"113220268938426.968810781274777375"
1617316666535,"113776034981927.437561155793903954"
1617231335844,"110842802964992.295922190210520982"
1617146191026,"109455462732073.143985452681087339"
1617060557028,"105637576636935.577295684906597421"
1616975780756,"101814874165575.773093859477539964"
1616890908035,"100980720716700.047780188313710612"
1616805985973,"99286927513090.116866494476484036"
1616721020077,"85818633868589.625018308977458386"
1616636339123,"80890665476021.00690412567491313"
1616552113141,"76070956777434.967287164741609466"
1616467545872,"74108188754107.297261353165845348"
1616383070205,"71346095856786.460376116313580781"
1616298851477,"66610667629377.77538677449475902"
1616214786793,"60165019582023.009065788450367141"
1616129935776,"50198852274548.895373909433167368"
1616045520541,"37195410068599.944733350784388174"
